Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
373,473,0.5198,0.49803,0.0033
373,473,1.50514,1.43915,0.0026
373,473,2.4955,2.38632,0.0024
373,523,0.50555,0.48465,0.0022
373,523,1.50122,1.43956,0.0021
373,523,2.50278,2.39869,0.0023
373,548,0.50443,0.48392,0.0022
373,548,1.49886,1.44224,0.0023
373,548,2.477,2.39829,0.0023
373,573,0.50355,0.48459,0.002
373,573,1.50156,1.44437,0.0023
373,573,2.49334,2.40424,0.0021
373,623,0.50377,0.48494,0.002
373,623,1.50348,1.448,0.0024
373,623,2.49442,2.40131,0.0012
